age,city
1,San Buenaventura
2,Holma
3,Balongmulyo
4,Lajarik
5,Odienné
6,Mansilingan
7,Manila
8,Jifeng
9,Whakatane
10,Saint-Priest
11,Mikhnëvo
12,Comalapa
13,Zamoskvorech’ye
14,Weitang
15,Bantog
16,Svenljunga
17,Luts’k
18,Xinfa
19,San Felipe
20,Champagnole
21,Ramotswa
22,Shuanggang
23,Escuintla
24,Taman
25,Litvínov
26,Leipzig
27,Balyaga
28,Jardia
29,Cidade Velha
30,Järfälla
31,Měcholupy
32,Babice
33,Annonay
34,Paço
35,Yangxiang
36,Rancho Nuevo
37,Dubti
38,Proletarsk
39,Malata
40,Lincoln
41,Dīvāndarreh
42,Nangtang
43,Intendente Alvear
44,Ishkhoy-Yurt
45,Coquitlam
46,Kwikila
47,Quiches
48,Tarhuna
49,Luzhuangzi
50,Bacag
51,Barrhead
52,Baicaogou
53,Vila Franca
54,Pulosari
55,Potchefstroom
56,Mnichovo Hradiště
57,Örebro
58,Huasahuasi
59,Tuchlovice
60,Novoalekseyevskaya
61,Taquarituba
62,Wushishi
63,Hanting
64,Aglipay
65,Entradas
66,Sagara
67,Xiagang
68,Daja Lorong
69,Talipan
70,Sanok
71,Honghe
72,Duncans
73,Ariz
74,Platagata
75,Kushikino
76,Zhongshu
77,Sruni
78,Saubara
79,Lodan Wetan
80,Pingding
81,Kunsan
82,Girón
83,Kula
84,Muang Sing
85,Kota Kinabalu
86,Bolesławiec
87,Songjiang
88,La Loma
89,Tiechang
90,Shlissel’burg
91,Cabouco
92,Van Nuys
93,Izmaylovo
94,Zitong
95,Ar Rawḑah
96,Karobokan
97,Dagui
98,Castlepollard
99,Artur Nogueira
100,Prnjavor
101,Yuza
102,Krajan Suko Kidul
103,Baranoa
104,Sanzhou
105,Bayuin
106,Bangangté
107,Mtimbira
108,Caçapava do Sul
109,Lanxi
110,Wakkanai
111,Wilamowice
112,Roodepoort
113,Marintoc
114,Des Moines
115,Sukhobuzimskoye
116,Piojó
117,Mekarsari
118,Dlemer
119,Ros’
120,Aco
121,Ibicaraí
122,Bulacnin
123,Novhorodka
124,Buena Vista
125,Gavea
126,Balgarevo
127,Embalse
128,Kurnāz
129,Barobo
130,Tlogowungu
131,Patos de Minas
132,Savyntsi
133,Cần Giờ
134,Dzorastan
135,Hŭngju-dong
136,Bratislava
137,Nangabere
138,Kolape
139,Des Moines
140,Atsugi
141,Nianba
142,La Francia
143,Kolno
144,Yinchuan
145,Benito Juarez
146,Alofi
147,Czerwin
148,Shangqiu
149,"Coruña, A"
150,Dieppe
151,Pakel
152,Gondanglegi Wetan
153,Suruhan
154,Kalatongke
155,Kembang
156,Pirassununga
157,Khodasy
158,Laidian
159,Lyon
160,Magdug
161,Tullyallen
162,Wanzhi
163,Papeete
164,Stamáta
165,Takahata
166,Bai’e
167,Ampelgading
168,Mabalacat
169,Jardim
170,Guimbal
171,Aksu
172,Stockholm
173,Bezons
174,Zhouzhuang
175,Shengao
176,Kovářská
177,Jingouhe
178,Luangwa
179,Reston
180,Purral
181,Nunchía
182,Zhenjiang
183,Dayton
184,Heemskerk
185,Grenoble
186,Lainqu
187,Chernomorets
188,Qŭrghontepa
189,Shuangxi
190,Trŭn
191,Hucheng
192,Flor da Mata
193,Águas Belas
194,L-Iklin
195,Changshan
196,Stockholm
197,Paço
198,Qingshan
199,Araruama
200,Cheyenne
201,Žďár nad Sázavou Druhy
202,Villa Alemana
203,Abbeville
204,Honghualiangzi
205,Voskop
206,Marinilla
207,Xinminxiang
208,Edéa
209,Viseu
210,Primero de Mayo
211,Tha Wang Pha
212,Greytown
213,Lianhe
214,Zengjia
215,Dallas
216,Ciudad Arce
217,Swindon
218,Utan
219,Kristinehamn
220,Foúrnoi
221,Barrhead
222,Takahama
223,Myaydo
224,Texíguat
225,Krasnystaw
226,Ubatuba
227,Bilice
228,Taphan Hin
229,Juntas
230,Czerwonak
231,Tangxi
232,Kampen (Overijssel)
233,Al Qardāḩah
234,Shalqīya
235,Taung
236,Xincheng
237,Rukunlima Bawah
238,Huacao
239,Plaju
240,Gros Morne
241,Soljani
242,Gunem
243,Carman
244,Nagu
245,Orsk
246,Chester
247,Quthing
248,Barili
249,Binzhou
250,Tempe
251,Mysiadło
252,Guanabacoa
253,Milovice
254,Dinalongan
255,Qiaotou
256,Na Kae
257,Oslo
258,Lamía
259,Saint-Joseph-de-Coleraine
260,Phonsavan
261,Yelizavetinskaya
262,Cucutilla
263,São José
264,Bibirevo
265,Sacramento
266,Tapel
267,Xintaimen
268,Palkovice
269,Angra do Heroísmo
270,Postřelmov
271,Ban Houakhoua
272,Vihti
273,Ash Shaykh ‘Uthmān
274,Stalbe
275,Caxarias
276,Gryfino
277,Idah
278,Phunphin
279,Monguno
280,Labansari
281,Wang Noi
282,Froly
283,Kungsbacka
284,Indianapolis
285,Haymā’
286,Omigawa
287,Kochetok
288,Vanderhoof
289,Khafizan
290,Lushuihe
291,Maco
292,Xilin
293,Gaborone
294,Sokolovo
295,Emiliano Zapata
296,Montepuez
297,Martapura
298,Cikananga
299,Águas de Lindóia
300,La Joya
301,Morrelgonj
